//Normal outlanders
s farmáři
s vesničany
s mlynáři
s kováři
se sládky
s tkalci
s kuchaři
s žebráky
se strážníky
s radními
s pekaři
s krejčími
se stařešinami
s puškaři
s kováři
se šípaři
s mlatci
s pokrývači
s tesaři
s obchodníky

//Exotic outlanders
s chirurgy
s doktory
s průzkumníky
s dobrodruhy
s opilci
s kněžími
s duchovními
s pašeráky
s komiky
s učiteli
s akrobaty
s klauny
s herci
s umělci
s boxery
s chemiky
s tanečníky
s věštci
s zahradníky
se sluhy
s hypnotizéry
s klenotníky
s básníky
s kovboji
se zpěváky
s filozofy
s pistolníky
se šerify

//Tech
s archeology
s hackery
s planetology
s politiky
s historiky
se spisovateli
s inženýry
se zubaři
s právníky

//Tribals
s náčelníky
s válečníky
s lučištníky
s čaroději
se šamany
