archogenetika;archogenetický;archogenetická;archogenetické

břidlice;břidlicový;břidlicová;břidlicové
mramor;mramorový;mramorová;mramorové
pískovec;pískovcový;pískovcová;pískovcové
vápenec;vápencový;vápencová;vápencové
žula;žulový;žulová;žulové

animalistický;animalistický;animalistická;animalistické
buddhistický;buddhistický;buddhistická;buddhistické
hinduistický;hinduistický;hinduistická;hinduistické
islámský;islámský;islámská;islámské
jehlový;jehlový;jehlová;jehlové
křesťanský;křesťanský;křesťanská;křesťanské
morbidní;morbidní;morbidní;morbidní
rustikální;rustikální;rustikální;rustikální
techistický;techistický;techistická;techistické
totemický;totemický;totemická;totemické
