Catalan;Katalánština
Czech;Čeština
Danish;Dánština
Dutch;Nizozemština
Estonian;Estonština
Finnish;Finština
French;Francouzština
German;Němčina
Greek;Řečtina
Hungarian;Maďarština
Italian;Italština
Japanese;Japonština
Korean;Korejština
Latin American Spanish;Latinskoamerická španělština
Norwegian;Norština
Polish;Polština
Portuguese Brazilian;Brazilská portugalština
Portuguese;Portugalština
Romanian;Rumunština
Russian / Русский;Ruština
Simplified Chinese;Zjednodušená čínština
Slovak;Slovenština
Spanish;Španělština
Swedish;Švédština
Traditional Chinese;Tradiční čínština
Turkish;Turečtina
Ukrainian;Ukrajinština
