mrtvý plod rituál: porod;narození mrtvého plodu
nemocné dítě rituál: porod;narození nemocného dítěte
zdravé dítě rituál: porod;narození zdravého dítěte
hrozný rituál: konverzní rituál;hrozný konverzní rituál
neúčinný rituál: konverzní rituál;neúčinný konverzní rituál
účinný rituál: konverzní rituál;účinný konverzní rituál
dokonalý rituál: konverzní rituál;dokonalý konverzní rituál
trapný rituál: veřejná poprava;trapná veřejná poprava
uspokojivý rituál: veřejná poprava;uspokojivá veřejná poprava
okázalý rituál: veřejná poprava;okázalá veřejná poprava
neúspěšný rituál: změna role;neúspěšná změna role
úspěšný rituál: změna role;úspěšná změna role
